Temperature1,Temperature2,Pressure1,Pressure2,Temperature3,Temperature4,Pressure3,Pressure4,Temperature5,Temperature6,Pressure5,Pressure6
12,50,10,833,30,42,37,250,14,24,27,902
29,37,46,169,13,40,47,152,26,39,44,645
14,49,48,418,30,25,40,552,10,12,31,228
17,32,15,522,26,29,42,959,29,15,15,801
13,34,17,967,27,38,49,937,14,28,34,447
13,40,29,297,28,26,46,959,19,35,17,937
25,38,49,344,12,35,18,284,16,35,18,550
15,42,28,151,15,43,34,807,24,30,30,943
28,27,19,482,20,28,15,240,20,47,17,379
17,43,12,238,25,35,24,628,22,48,45,509
18,27,33,906,12,41,27,627,18,32,49,867
21,10,44,763,10,40,41,116,16,11,14,778
27,24,42,427,19,34,42,589,25,46,21,401
17,11,16,741,14,20,17,104,21,10,23,211
27,34,41,516,24,11,43,815,22,13,23,345
26,32,48,138,24,34,35,328,26,33,12,661
27,34,14,475,18,42,29,152,22,45,14,234
23,16,25,505,21,16,18,972,12,42,18,187
20,49,34,441,27,45,17,529,11,12,31,837
21,45,40,613,30,17,42,740,13,40,48,630
14,24,46,635,10,33,31,197,23,39,50,283
19,34,41,369,30,30,27,920,28,41,13,601
25,20,46,295,15,16,17,713,12,50,35,232
13,34,44,230,15,13,42,512,22,17,50,239
16,28,37,393,28,38,32,400,28,15,23,272
10,44,22,801,27,43,23,443,24,31,26,787
25,20,29,109,16,21,48,286,23,13,40,917
17,43,20,331,20,47,26,404,12,11,30,379
15,36,21,530,29,18,27,693,10,17,10,862
30,20,32,986,24,23,43,685,24,18,29,715
25,26,14,493,29,14,49,471,13,48,12,511
26,10,22,110,18,43,21,533,22,21,48,322
10,18,40,391,26,31,44,303,19,31,16,638
24,23,38,298,23,33,11,152,24,38,12,445
10,29,30,959,28,32,34,420,16,34,45,129
15,37,19,754,21,21,29,301,25,20,47,949
29,31,44,310,19,33,27,757,11,14,35,649
15,34,32,178,27,34,32,473,10,20,41,671
16,19,13,290,25,16,42,661,10,29,35,703
12,11,44,215,28,14,25,283,23,15,44,467
18,38,37,507,27,32,24,575,14,33,46,887
30,21,42,610,21,25,16,829,23,39,47,890
28,50,50,256,22,43,41,385,27,29,24,779
30,10,22,274,30,48,26,546,16,32,14,860
18,31,12,846,26,31,20,307,10,41,16,213
24,20,13,552,28,22,23,944,22,49,32,121
10,23,27,657,13,40,42,585,12,40,24,470
26,30,27,407,17,44,24,680,27,29,12,849
30,11,35,294,13,47,36,493,12,21,34,330
13,49,26,496,12,16,50,260,26,44,39,717
17,47,20,114,29,21,14,814,22,30,22,355
25,19,38,359,18,38,12,777,12,42,28,859
20,26,27,517,26,38,17,652,16,12,30,670
25,14,40,104,30,18,35,191,26,17,27,330
10,25,45,440,20,19,49,374,18,18,24,564
15,17,42,843,13,50,43,822,28,10,26,803
20,18,29,731,17,30,37,948,23,32,11,274
28,42,28,702,30,25,19,465,14,21,10,643
28,23,12,991,21,37,38,718,18,18,26,584
29,32,43,820,12,22,10,372,28,12,38,369
27,32,31,170,14,21,25,447,26,17,20,479
13,46,28,923,15,17,34,467,12,38,34,974
27,39,11,365,29,41,28,388,24,34,32,397
23,38,48,867,19,12,35,585,21,32,36,474
18,18,16,413,12,43,13,762,10,45,49,375
27,32,27,789,29,23,20,470,25,40,48,145
27,46,50,550,27,35,29,570,15,31,11,471
28,37,36,388,16,41,32,211,13,49,48,511
18,33,40,128,15,47,11,466,22,23,28,740
30,32,36,722,27,40,20,377,14,32,37,406
15,49,25,281,14,23,10,939,29,30,11,109
27,40,35,322,22,49,41,321,28,22,47,790
21,38,20,943,22,40,23,292,11,18,24,471
16,31,23,469,20,49,38,870,22,38,29,591
25,30,28,865,30,44,27,177,15,35,41,167
18,16,15,586,26,30,26,956,16,27,10,267
16,15,26,825,17,35,46,753,30,27,28,564
13,37,19,278,22,18,49,591,16,21,28,839
20,10,34,732,26,46,32,270,22,16,11,103
13,16,33,794,30,44,14,151,15,40,26,529
26,47,11,396,25,23,16,197,21,18,23,520
26,28,48,258,16,28,29,576,22,16,32,432
21,29,19,330,18,49,47,110,20,41,10,168
26,28,33,441,28,14,35,143,25,17,16,468
29,21,18,217,28,16,30,932,16,31,31,507
29,40,15,718,10,40,22,663,19,28,43,678
22,34,20,814,16,33,17,508,12,34,45,808
10,38,10,275,18,11,24,610,17,35,47,479
13,21,27,227,12,45,37,779,11,42,32,549
18,42,46,200,12,43,23,500,16,37,41,155
12,25,45,704,17,40,25,164,13,16,49,403
27,41,40,810,21,14,16,524,28,28,39,617
12,33,34,694,12,22,46,126,25,14,14,657
21,46,10,912,15,14,31,288,12,19,30,974
16,35,25,259,30,24,21,611,27,15,26,624
16,30,18,996,29,32,24,750,12,19,40,987
18,10,42,577,22,10,19,702,22,23,19,306
19,45,21,343,13,22,44,510,16,17,27,289
25,18,39,210,10,38,45,481,22,35,30,652
17,20,27,119,19,26,33,140,22,43,34,568
18,12,28,906,18,31,45,947,23,32,34,718
30,28,14,853,30,10,41,878,23,17,11,687
11,15,31,453,14,13,29,305,19,18,31,619
28,14,20,505,15,25,25,335,22,41,32,948
24,36,21,734,13,26,28,110,22,17,25,785
22,44,23,120,18,30,31,272,10,25,39,876
18,34,47,700,17,17,17,184,27,30,43,403
27,12,32,462,27,13,36,925,16,33,36,406
23,34,37,467,18,22,42,572,14,37,31,636
27,30,26,438,14,15,21,362,29,13,17,624
29,15,12,373,17,50,40,909,18,30,35,367
16,40,23,458,21,13,32,806,29,24,18,293
24,26,10,342,14,42,17,559,15,18,47,114
19,20,38,452,10,39,26,130,29,45,45,254
24,46,26,122,30,19,28,459,21,32,33,615
21,10,46,544,10,20,12,556,24,41,33,461
16,32,34,519,19,49,44,692,28,10,30,521
12,45,38,730,20,34,32,627,19,47,43,259
17,35,18,596,17,41,23,798,23,11,39,438
26,13,48,469,10,21,48,948,30,19,41,966
29,28,29,303,24,16,47,751,28,41,37,722
10,47,31,816,23,40,50,824,23,37,47,233
27,16,17,377,29,33,34,393,14,28,12,764
27,40,33,603,15,28,42,390,14,50,30,509
30,37,41,972,14,19,37,559,16,39,11,111
26,49,18,448,15,49,35,413,25,20,14,436
14,47,34,600,10,33,15,744,13,32,43,119
24,42,39,801,27,31,33,856,19,29,44,197
13,17,11,133,16,38,23,730,14,16,13,421
13,33,12,453,18,12,14,397,30,18,11,437
29,18,40,754,13,41,18,499,13,30,45,785
29,46,32,923,10,33,27,824,23,46,13,392
19,38,49,914,21,42,10,194,10,45,32,918
11,47,17,420,20,38,18,467,27,35,13,991
17,11,28,280,10,32,30,131,27,12,33,516
18,48,27,443,18,28,20,296,24,39,48,536
22,21,48,312,10,46,50,463,11,49,50,886
14,27,10,417,24,11,38,345,24,50,35,709
22,46,19,648,14,44,42,986,24,11,15,334
12,40,16,401,23,27,30,407,28,14,17,882
12,12,48,263,14,18,32,532,14,35,39,413
12,14,39,477,13,28,25,464,21,40,31,361
28,38,22,891,15,20,41,613,15,47,10,772
14,10,20,188,25,45,43,451,26,26,15,265
16,16,39,281,14,37,44,349,12,41,45,630
25,20,17,332,28,29,31,227,19,34,37,734
16,22,27,310,28,42,46,247,29,11,25,263
10,14,39,383,15,16,23,369,26,17,20,551
23,30,38,851,19,13,29,432,22,37,38,947
17,44,29,351,24,30,29,626,16,32,27,905
29,39,10,405,24,23,48,339,18,32,22,369
14,20,20,323,15,28,38,902,21,33,42,354
24,38,30,154,17,23,50,719,30,29,17,699
11,17,35,638,10,34,29,618,20,35,45,312
11,17,46,664,20,11,11,722,24,41,23,322
23,27,32,387,11,16,18,858,21,24,39,825
26,39,40,834,20,22,42,975,24,47,42,177
15,37,19,112,22,15,36,395,19,46,25,733
16,12,40,337,10,16,27,166,22,44,37,608
30,38,20,232,24,13,13,951,30,29,24,632
30,35,49,451,16,17,39,244,20,28,50,551
13,48,37,409,11,25,43,720,15,21,13,657
29,10,27,553,30,24,40,585,11,30,34,337
11,50,31,652,16,23,49,519,29,11,33,366
26,14,18,231,12,26,38,785,16,20,34,697
28,22,29,421,13,19,13,138,11,34,11,101
25,48,13,594,21,33,39,892,22,34,15,257
17,14,14,627,17,49,50,389,30,38,17,787
14,15,18,525,30,24,46,614,15,32,10,223
18,46,16,134,29,45,13,713,17,35,34,139
15,30,11,102,22,31,30,287,17,25,40,786
10,18,45,432,25,44,23,379,27,22,20,477
12,42,50,179,25,15,39,518,15,22,12,277
25,26,45,224,26,49,36,132,22,18,41,530
24,28,12,308,13,31,28,919,13,10,14,586
10,44,47,567,14,44,10,619,29,42,15,263
11,12,22,936,10,31,37,662,15,24,26,665
25,20,24,548,30,16,39,850,11,44,38,919
27,22,17,307,15,10,19,912,22,43,37,993
26,44,33,246,20,19,22,528,28,20,34,136
19,13,35,439,12,39,29,160,14,44,13,478
18,35,28,236,16,40,36,309,12,36,41,764
15,47,36,232,21,31,26,488,14,49,43,298
22,30,31,122,20,42,48,694,26,17,21,727
23,20,23,490,25,34,31,515,27,24,10,427
12,40,39,706,26,16,22,340,13,23,34,345
17,50,42,818,12,37,44,144,25,20,35,550
30,31,30,633,29,24,11,418,21,19,23,898
29,36,44,245,16,14,17,806,20,22,33,723
21,44,21,205,11,38,50,488,14,42,16,294
11,32,36,106,20,21,32,688,14,31,43,879
12,36,33,491,12,22,14,327,29,15,31,735
27,40,29,707,18,31,46,590,28,13,29,235
27,29,32,704,13,33,43,723,27,39,23,789
23,23,41,221,13,29,16,103,14,17,31,363
22,23,20,599,12,14,22,449,25,46,12,133
29,13,21,252,11,30,30,983,20,33,12,274
19,42,40,439,14,46,29,834,18,37,38,906
11,43,49,151,26,41,19,584,10,19,20,475
12,42,10,140,10,11,24,753,29,49,30,255
13,38,19,961,19,44,30,381,11,12,40,388
27,45,47,182,15,43,43,402,19,31,20,135
27,29,26,248,16,43,31,854,12,40,47,745
14,39,12,386,27,13,45,666,29,46,38,137
11,18,14,372,25,24,31,685,19,33,37,104
12,49,18,822,12,49,38,846,26,33,30,561
22,28,50,598,26,47,30,832,19,15,16,195
27,44,43,738,13,43,50,528,28,32,25,723
13,25,21,744,12,27,31,187,23,31,49,884
14,46,48,941,16,29,50,358,12,32,41,562
16,25,29,786,11,35,18,344,22,49,48,192
18,38,18,261,20,25,40,531,11,15,41,487
24,31,47,107,30,50,48,426,19,28,49,729
10,40,27,721,16,29,22,538,15,28,35,977
15,48,40,798,29,35,13,982,15,46,40,406
25,40,15,208,23,34,41,563,17,42,40,790
10,41,43,658,20,21,34,504,18,45,22,810
13,34,19,823,20,46,29,877,27,13,18,693
12,46,45,400,20,15,44,359,27,48,49,664
17,32,33,408,28,45,49,187,18,47,14,459
16,25,10,877,19,22,21,531,19,20,38,283
19,18,46,103,19,24,39,160,29,38,20,584
25,50,17,721,16,23,40,407,29,15,42,162
23,11,26,400,26,38,13,221,26,26,49,666
24,22,26,432,16,19,43,672,23,35,49,685
21,11,15,203,11,14,41,794,12,35,20,564
13,14,47,447,24,44,37,632,27,32,42,348
23,27,33,596,17,42,16,288,11,45,12,273
30,29,22,231,19,12,26,479,28,38,13,986
11,50,39,279,29,13,21,987,28,14,13,810
22,23,46,730,10,18,34,100,26,34,41,702
24,45,26,647,12,22,24,185,12,38,24,377
10,18,42,149,22,38,44,282,13,40,41,261
10,37,22,817,11,18,30,596,11,39,17,216
30,46,28,304,12,17,40,302,19,12,33,258
29,12,12,131,13,27,30,580,22,42,43,764
14,46,15,994,25,50,41,274,13,33,31,492
23,47,37,838,27,35,18,217,10,19,46,482
29,32,33,734,20,24,38,949,15,41,42,668
30,27,12,104,15,30,18,422,22,46,33,888
29,40,16,423,25,26,50,310,15,37,44,243
14,50,44,592,12,42,40,258,22,48,44,117
12,20,14,675,11,33,47,359,22,18,20,673
17,45,12,370,11,37,14,685,25,18,47,471
13,20,22,165,28,12,25,744,19,21,49,219
16,40,10,875,13,16,19,814,15,21,41,168
23,32,17,845,28,41,16,761,10,22,17,313
13,50,48,774,22,27,30,458,23,32,34,705
20,36,36,318,23,36,25,182,13,42,41,201
17,41,10,518,14,29,46,460,30,21,44,723
14,34,12,978,18,29,13,583,23,47,17,651
17,28,17,682,13,36,41,669,15,39,28,860
26,37,29,813,25,32,12,936,24,41,27,897
21,44,49,612,10,32,46,843,13,14,21,708
20,26,35,879,25,24,13,398,18,45,11,616
17,17,13,819,20,24,37,878,29,20,17,791
29,25,16,404,27,17,39,171,17,41,50,965
25,36,45,707,17,50,19,947,20,11,44,986
24,48,24,379,14,39,30,155,13,45,29,337
23,35,39,946,27,20,48,773,16,20,46,825
14,23,47,602,11,24,11,987,22,26,46,920
27,40,28,861,21,28,24,745,12,50,10,336
23,23,27,307,21,49,35,665,23,21,34,409
13,16,48,262,28,37,40,762,19,13,18,151
14,49,48,409,15,30,20,882,23,22,49,502
14,21,22,618,15,30,37,646,16,19,23,360
29,38,43,397,29,43,29,358,14,50,48,342
15,47,38,456,20,49,17,742,26,14,14,727
15,28,30,709,23,22,39,765,14,17,21,478
30,44,30,704,23,29,28,569,12,17,25,624
24,41,17,955,26,26,37,724,29,49,13,329
28,49,21,441,13,23,46,430,14,18,23,990
23,12,47,432,24,44,15,642,11,43,44,773
14,39,41,376,24,42,22,764,13,35,35,697
26,37,29,124,28,10,31,433,30,30,31,360
17,43,45,439,11,10,34,309,26,25,50,299
15,39,18,949,14,44,44,450,15,36,34,165
22,50,21,147,12,11,40,146,20,31,47,840
15,30,48,858,30,43,19,987,28,19,36,895
29,35,46,698,10,24,40,428,23,11,34,352
29,21,43,654,20,39,49,509,24,44,49,389
16,14,48,806,18,31,11,677,23,33,24,819
12,11,46,484,29,30,33,862,19,44,43,543
17,32,30,128,27,38,43,124,12,47,39,662
19,42,25,331,25,23,20,975,25,43,33,285
13,47,43,666,17,37,24,684,28,19,14,106
15,31,16,630,18,32,50,715,12,10,23,216
10,38,29,989,28,22,33,838,19,26,31,579
11,49,39,586,17,35,46,560,22,23,40,929
15,38,17,623,27,13,48,820,25,40,28,971
18,42,18,809,19,39,44,107,10,30,35,733
27,14,47,830,22,34,21,574,30,35,26,940
15,43,44,595,16,18,15,390,13,19,30,382
15,20,46,502,12,16,30,271,27,18,18,354
13,43,46,839,26,26,14,281,24,27,34,623
25,47,39,459,21,24,16,134,26,38,44,511
11,14,17,137,30,49,50,418,25,19,42,623
19,31,13,816,17,21,36,351,14,36,41,821
12,49,30,140,12,30,19,326,12,21,17,979
24,19,36,807,29,42,42,882,11,30,20,711
22,16,41,906,25,47,44,980,27,14,23,409
25,28,14,175,10,18,48,291,16,37,36,452
20,30,46,310,13,12,12,453,13,23,42,521
13,45,38,234,23,15,40,215,27,13,38,704
21,50,15,544,29,14,32,146,21,31,29,270
20,42,26,689,10,15,37,537,20,20,25,742
30,27,47,307,12,22,44,762,25,24,13,839
19,27,35,186,26,10,37,692,28,36,18,342
22,47,18,955,16,39,11,647,28,14,41,368
30,20,10,210,15,33,39,562,28,15,15,312
16,44,31,518,12,40,29,360,28,14,40,540
30,21,28,687,24,46,34,955,30,45,32,397
26,50,29,832,12,30,34,437,12,15,13,614
22,41,35,507,22,15,48,222,15,10,14,856
17,26,23,747,11,11,10,443,18,34,50,134
19,19,26,992,26,42,35,352,20,43,14,554
25,46,46,393,17,14,15,182,22,30,35,995
17,22,43,292,21,11,37,352,22,29,17,463
17,17,10,492,13,18,16,571,12,33,35,579
17,17,35,914,29,26,42,358,20,37,49,363
12,31,41,660,13,17,33,823,29,33,32,271
19,22,26,618,10,10,30,717,10,45,21,444
21,30,27,721,23,50,21,996,14,49,28,277
27,25,40,593,11,12,14,837,25,19,16,709
25,15,10,755,19,30,44,614,18,47,20,522
17,29,19,242,16,26,29,654,30,41,22,540
23,31,38,306,17,38,41,492,17,50,14,225
23,30,45,132,19,40,41,891,19,36,21,805
15,29,38,934,30,30,16,644,21,18,11,150
10,10,36,228,24,11,27,482,27,42,19,623
25,33,45,198,12,16,10,405,19,47,27,686
19,44,22,897,20,14,37,645,22,46,48,273
24,26,23,584,15,42,44,717,17,18,12,300
21,36,39,976,16,21,34,395,29,20,23,374
10,47,34,644,13,16,29,167,10,38,33,594
30,21,32,365,23,14,41,744,16,11,20,201
30,37,48,896,21,18,44,705,19,35,11,696
24,36,49,494,24,14,39,758,10,34,10,454
12,42,13,375,24,14,13,355,30,10,33,507
12,33,39,659,11,41,21,455,25,29,10,108
23,16,41,333,28,16,10,187,19,16,36,563
12,18,18,363,20,43,44,408,24,24,38,807
17,10,39,476,12,24,49,121,24,33,13,917
10,23,39,944,22,42,17,589,26,49,38,223
25,29,41,902,15,34,25,688,15,30,44,863
25,20,48,648,29,25,34,949,16,23,10,897
10,25,24,485,30,33,43,302,26,23,16,584
26,31,33,783,11,14,30,881,15,19,32,239
19,37,46,724,21,38,12,805,11,30,23,974
26,50,17,908,27,32,15,608,13,33,47,887
12,18,14,286,14,36,10,880,17,33,46,895
28,45,10,474,27,16,10,588,18,22,13,715
12,36,10,667,13,34,20,453,12,37,50,340
26,30,32,586,27,34,37,519,22,27,31,637
27,33,20,385,24,46,38,658,24,13,20,266
15,32,33,795,26,39,45,195,25,10,11,185
20,28,46,444,13,32,29,290,21,10,41,127
27,49,37,711,27,13,14,828,24,37,29,779
14,45,48,364,11,26,30,431,14,22,38,174
14,46,30,880,30,33,38,379,30,49,12,633
16,45,47,346,24,40,44,588,24,20,43,481
28,28,10,917,17,28,24,837,12,29,35,223
10,46,16,483,22,36,26,262,12,35,27,826
10,44,45,871,27,46,14,242,26,18,10,563
20,36,49,203,10,14,34,116,24,12,20,570
14,26,40,369,16,50,19,969,14,44,44,613
11,44,22,136,16,38,12,233,28,20,44,416
28,40,19,825,15,31,40,295,27,24,40,240
26,40,41,417,16,49,22,470,29,35,42,582
26,44,11,606,15,14,10,386,18,21,48,749
20,47,36,213,19,13,37,147,15,21,34,329
21,43,10,476,24,14,45,501,12,45,21,829
12,47,17,500,12,15,39,362,21,27,38,183
30,19,19,670,20,37,30,218,10,23,14,853
27,47,30,884,16,41,43,510,28,18,27,459
23,22,40,936,13,34,44,754,17,24,42,381
17,26,38,564,17,29,16,616,10,38,33,148
18,37,20,234,30,35,25,554,18,34,25,929
23,21,23,509,14,39,49,381,12,28,45,409
24,38,36,154,17,39,18,292,18,38,39,978
18,41,45,976,11,24,38,181,28,33,24,987
23,26,23,151,20,13,35,471,11,11,23,604
15,44,19,167,15,12,10,596,17,40,35,105
27,13,33,140,22,45,24,912,26,25,37,172
21,27,13,775,21,37,41,947,24,19,49,299
25,26,17,494,27,22,20,795,14,38,27,695
21,34,50,614,27,15,41,903,24,23,20,771
24,25,33,943,16,38,42,607,10,37,34,291
25,37,11,305,19,33,22,809,10,28,34,217
22,48,40,758,30,31,21,796,25,23,36,570
10,22,47,179,14,17,40,637,10,43,10,713
28,18,47,442,23,49,49,221,12,16,36,860
13,32,23,938,18,45,11,260,16,35,48,735
23,28,41,987,18,43,35,125,25,27,42,219
12,17,13,448,24,41,32,936,26,12,11,901
15,30,37,957,21,33,49,525,30,49,31,107
14,39,42,572,18,21,38,176,18,50,22,211
28,20,25,590,19,49,32,938,21,25,43,104
25,26,42,777,24,40,27,228,13,18,20,747
21,22,34,522,25,25,12,816,22,44,12,244
15,45,46,160,13,43,16,736,10,13,28,862
25,40,19,780,27,49,12,915,27,44,24,190
18,42,30,391,25,33,14,526,23,14,16,467
10,47,10,729,27,50,27,894,28,17,30,367
23,32,12,871,29,24,28,320,13,19,36,813
12,43,13,968,16,40,37,946,22,36,32,536
19,38,34,578,22,50,41,130,10,44,28,573
25,43,37,668,17,32,30,267,12,40,50,906
23,23,10,617,13,22,12,409,21,35,45,735
25,28,31,141,17,39,19,804,28,36,40,718
23,12,36,207,22,46,11,869,22,33,41,312
20,15,29,251,11,46,21,458,10,24,25,201
29,18,16,775,27,42,44,925,20,16,11,738
12,36,24,657,25,33,27,255,17,43,42,738
30,30,25,739,25,10,48,370,13,48,44,603
25,36,37,692,25,47,48,254,25,26,24,582
17,10,24,677,18,16,11,148,28,31,49,405
25,30,20,103,17,45,31,670,29,29,48,524
19,23,21,404,10,30,40,264,13,14,22,822
27,36,40,890,18,46,11,607,11,20,36,367
24,25,10,154,22,10,42,429,27,46,19,287
15,21,49,830,15,11,20,584,27,43,20,104
29,50,30,668,22,24,39,885,22,16,46,684
22,34,16,180,24,28,22,126,12,28,35,299
16,26,33,859,30,23,41,867,15,11,21,145
18,15,41,258,12,42,36,528,24,12,37,116
13,14,14,620,12,36,34,912,10,30,25,252
17,45,46,572,28,23,34,204,26,34,40,527
18,41,16,460,12,13,15,561,17,18,15,914
19,34,16,127,25,35,34,649,18,48,25,117
27,21,30,922,12,18,35,760,15,41,19,912
19,46,19,613,22,28,15,625,19,37,10,538
22,24,16,556,28,14,17,460,23,29,28,771
23,34,35,828,13,19,10,957,23,34,49,209
15,22,26,964,29,49,36,541,18,16,46,423
28,34,48,690,13,46,14,545,12,18,19,270
11,33,39,760,27,33,47,167,24,38,24,409
25,17,21,690,19,10,38,346,11,10,10,316
17,28,18,723,30,39,23,611,14,47,50,708
13,24,12,851,25,35,11,961,22,12,43,146
29,48,38,376,17,17,13,563,19,47,32,401
30,35,29,260,19,41,24,659,18,42,26,785
22,10,18,483,24,15,13,581,14,32,16,871
21,45,24,897,17,30,35,158,16,30,13,192
22,11,48,990,27,47,38,170,12,30,16,877
19,18,23,175,27,14,40,117,23,10,24,254
15,27,25,609,15,16,33,379,19,37,35,923
10,15,46,703,27,28,49,906,26,31,46,911
25,13,49,282,10,22,44,789,10,23,37,436
16,40,30,152,29,17,41,423,12,43,37,323
21,30,50,716,17,31,14,706,18,16,38,538
19,21,10,782,29,35,46,478,30,21,29,639
13,40,21,179,28,36,45,760,25,40,43,446
22,22,30,609,27,24,31,658,14,28,41,363
24,21,11,172,28,28,47,809,13,45,46,156
26,26,29,792,14,28,19,396,25,33,16,583
11,29,41,290,20,14,23,877,27,11,39,644
25,27,27,204,21,25,36,307,30,16,47,232
18,40,33,750,30,17,11,929,30,21,49,584
15,27,37,299,17,38,19,952,15,30,10,563
14,45,10,774,22,19,24,636,15,40,31,256
12,37,25,682,18,36,10,862,30,15,20,550
19,19,50,207,24,25,23,650,28,30,33,143
23,35,40,418,25,21,14,591,24,15,13,283
24,28,23,124,23,13,24,106,18,16,36,946
11,25,46,386,27,20,25,797,23,16,37,452
27,31,42,104,26,41,18,258,21,44,15,598
16,13,23,155,16,27,10,244,27,13,23,455
13,10,43,809,18,43,40,102,18,34,43,626
22,35,44,718,20,32,22,293,19,16,26,345
19,13,41,590,30,12,19,628,24,38,30,821
18,25,50,501,20,22,10,709,17,38,46,262
19,35,12,616,14,39,27,458,25,27,13,997
28,41,26,717,29,44,26,837,18,14,36,760
14,44,16,319,13,49,22,719,28,50,40,603
24,24,49,756,12,22,13,648,10,50,23,810
25,36,17,277,20,10,42,360,24,48,17,836
13,20,23,600,30,49,39,338,15,34,12,243
27,18,46,315,19,21,24,700,18,37,17,642
24,14,50,968,10,36,45,315,16,42,25,828
28,10,31,780,21,15,43,965,13,47,10,607
21,33,31,968,18,29,15,722,27,37,29,663
11,12,35,425,11,47,46,466,20,40,41,638
21,45,31,103,25,25,47,785,14,34,29,488
10,18,45,607,25,35,35,485,18,43,49,881
21,41,37,148,15,11,20,163,20,26,43,514
20,29,18,543,29,10,24,376,20,18,19,468
10,16,30,560,11,45,48,294,10,11,11,444
29,50,34,193,21,37,41,694,26,28,33,391
15,31,22,172,10,28,12,764,28,36,17,374
28,19,15,309,11,24,13,356,18,22,31,950
24,34,45,447,24,34,15,517,18,12,44,691
22,32,15,250,14,24,26,370,27,34,46,344
24,47,22,114,18,18,46,542,29,36,44,735
23,43,34,590,14,31,24,502,19,12,42,870
18,45,47,507,22,29,35,857,16,46,13,526
17,40,25,664,13,31,33,163,24,45,10,538
11,30,16,436,24,41,44,690,21,44,38,309
27,19,31,623,18,11,23,159,11,11,31,281
26,10,49,823,18,28,28,496,23,22,10,169
16,42,24,157,14,34,42,135,25,22,17,518
13,18,29,744,10,32,20,612,23,19,29,935
23,48,38,618,28,19,34,158,15,43,46,564
28,27,33,821,19,22,31,777,20,10,40,897
24,30,12,591,10,31,36,596,28,41,10,492
19,17,34,790,19,23,48,452,16,14,38,216
14,39,28,340,20,48,42,221,25,34,18,146
11,36,41,683,27,15,27,746,28,50,35,399
25,45,40,735,26,22,13,324,18,44,24,384
22,28,24,471,16,20,48,469,10,36,21,468
16,15,31,946,10,49,32,878,19,12,13,435
30,12,18,417,12,48,29,138,16,31,18,958
19,19,38,226,15,13,47,238,13,49,30,229
12,48,19,855,19,28,48,683,29,33,46,144
28,32,22,589,14,15,25,531,26,10,38,593
19,27,10,693,29,13,48,958,24,21,21,778
26,39,49,801,23,32,21,889,27,21,21,738
19,17,29,197,25,27,18,311,17,43,32,964
15,10,26,872,27,35,15,437,16,28,39,991
20,30,22,773,20,47,38,225,14,44,46,374
24,28,50,570,19,10,47,966,30,31,38,645
29,36,19,168,10,46,33,331,20,13,46,145
18,11,13,588,27,13,33,323,13,17,22,830
17,32,29,780,17,35,17,221,15,36,35,336
27,48,19,985,29,19,40,630,26,46,26,275
12,17,14,124,25,21,44,830,29,32,46,456
12,45,33,544,26,32,31,243,21,13,25,665
12,45,40,845,22,46,13,601,25,38,38,910
29,23,24,461,10,45,29,934,27,18,12,494
17,25,17,911,22,19,42,496,28,37,39,770
11,10,37,890,24,30,45,965,30,25,23,266
20,17,43,280,22,49,18,373,29,32,21,955
24,49,16,106,25,28,27,544,19,19,14,194
18,32,23,221,22,27,14,762,12,32,44,330
17,50,33,560,17,14,10,947,21,18,30,566
13,32,18,929,21,33,48,623,25,35,24,755
10,37,37,948,12,14,12,568,26,19,10,499
11,33,47,107,12,46,41,492,12,40,48,284
29,17,10,801,27,44,36,630,23,32,38,199
15,46,30,297,12,32,15,482,21,15,48,105
20,44,40,412,25,37,45,182,18,49,18,776
27,34,33,429,30,28,17,903,15,22,37,173
12,41,29,806,27,46,31,797,20,25,24,114
15,12,19,681,21,14,45,655,17,34,41,503
16,24,21,722,18,17,45,216,21,40,17,717
21,12,35,938,27,47,24,458,18,33,37,266
20,31,50,989,28,32,46,988,27,34,12,829
16,22,11,453,20,27,18,948,13,20,21,846
27,43,17,115,23,47,34,783,19,46,23,681
22,18,19,860,17,22,20,877,13,28,44,437
11,18,42,874,27,35,27,143,16,26,26,501
29,44,37,110,11,20,39,487,30,25,21,596
21,46,27,973,29,50,24,348,15,34,14,321
19,33,39,461,16,15,19,400,20,36,27,856
12,27,42,310,30,24,25,498,27,12,19,127
19,13,19,241,10,23,16,311,19,32,10,291
19,11,38,986,20,13,10,262,21,23,37,232
26,23,37,702,11,14,35,971,10,49,20,116
25,50,26,557,29,18,38,228,21,18,42,522
11,38,12,529,11,40,36,549,19,45,12,474
25,29,27,269,20,11,35,434,19,18,12,953
26,22,11,223,27,39,29,216,13,43,37,605
11,23,16,847,17,29,12,922,10,36,13,308
28,42,17,232,18,34,15,763,12,10,36,540
25,15,42,972,11,41,23,211,22,24,22,583
26,41,20,120,21,44,14,607,19,48,28,983
30,48,27,525,10,39,25,113,26,44,40,997
24,41,14,990,28,41,45,535,13,29,31,250
23,10,26,693,17,36,17,619,11,14,35,806
23,36,15,362,27,28,28,224,18,50,14,116
28,32,29,181,12,28,10,567,27,37,13,647
24,29,19,604,21,22,36,110,27,10,23,134
25,49,15,651,10,29,10,921,22,13,24,873
23,29,36,205,25,17,25,537,12,20,11,798
26,40,41,242,14,21,11,241,14,10,41,441
25,19,32,304,29,41,14,116,27,12,20,662
25,46,29,601,13,42,42,583,22,22,35,170
10,31,24,944,21,37,26,668,19,37,11,218
27,10,30,219,12,14,35,699,24,34,28,970
26,29,27,561,22,23,42,671,11,32,31,217
